Folder_ID	Encoding_Vector
135_O	1 0.473684 0.526316 0.294872 0.5 0.205128 0.296296 0.425926 0.277778 0.25641 0.461538 0.282051 0.202899 0.326087 0.398551 0.0724638 0.166667 0.388889 0.351852 0.0925926 0.188889 0.344444 0.311111 0.155556 0.184211 0.394737 0.263158 0.157895 
136	1 0.473684 0.526316 0.282051 0.371795 0.346154 0.222222 0.518519 0.259259 0.192308 0.538462 0.269231 0.15942 0.282609 0.362319 0.195652 0.148148 0.314815 0.314815 0.222222 0.0888889 0.355556 0.444444 0.111111 0.0789474 0.368421 0.447368 0.105263 
136_O	1 0.526316 0.473684 0.128205 0.615385 0.25641 0.240741 0.462963 0.296296 0.294872 0.461538 0.24359 0.0217391 0.362319 0.492754 0.123188 0.0555556 0.305556 0.555556 0.0833333 0.122222 0.333333 0.333333 0.211111 0.131579 0.315789 0.394737 0.157895 
137	1 0.578947 0.421053 0.333333 0.576923 0.0897436 0.333333 0.5 0.166667 0.320513 0.5 0.179487 0.144928 0.572464 0.26087 0.0217391 0.166667 0.509259 0.305556 0.0185185 0.222222 0.4 0.333333 0.0444444 0.157895 0.447368 0.315789 0.0789474 
137_O	1 0.5 0.5 0.230769 0.487179 0.282051 0.240741 0.518519 0.240741 0.25641 0.512821 0.230769 0.101449 0.391304 0.362319 0.144928 0.101852 0.37963 0.398148 0.12037 0.111111 0.377778 0.377778 0.133333 0.157895 0.342105 0.421053 0.0789474 
138	1 0.421053 0.578947 0.205128 0.512821 0.282051 0.166667 0.574074 0.259259 0.179487 0.525641 0.294872 0.0869565 0.362319 0.442029 0.108696 0.0833333 0.388889 0.388889 0.138889 0.0444444 0.388889 0.455556 0.111111 0.105263 0.394737 0.368421 0.131579 
138_O	1 0.394737 0.605263 0.141026 0.512821 0.346154 0.166667 0.462963 0.37037 0.128205 0.512821 0.358974 0.0507246 0.289855 0.456522 0.202899 0.037037 0.287037 0.481481 0.194444 0.0555556 0.277778 0.455556 0.211111 0.0526316 0.263158 0.526316 0.157895 
139	1 0.631579 0.368421 0.384615 0.461538 0.153846 0.444444 0.444444 0.111111 0.435897 0.423077 0.141026 0.275362 0.391304 0.297101 0.0362319 0.259259 0.481481 0.194444 0.0648148 0.277778 0.377778 0.311111 0.0333333 0.394737 0.342105 0.236842 0.0263158 
139_O	1 0.447368 0.552632 0.179487 0.512821 0.307692 0.12963 0.648148 0.222222 0.230769 0.435897 0.333333 0.0652174 0.282609 0.550725 0.101449 0.0648148 0.416667 0.324074 0.194444 0.0333333 0.355556 0.511111 0.1 0.131579 0.263158 0.394737 0.210526 
13_O	1 0.447368 0.552632 0.166667 0.525641 0.307692 0.12963 0.62963 0.240741 0.217949 0.474359 0.307692 0.0434783 0.355072 0.471014 0.130435 0.0555556 0.351852 0.416667 0.175926 0.0444444 0.333333 0.522222 0.1 0.105263 0.342105 0.447368 0.105263 
14	1 0.473684 0.526316 0.230769 0.474359 0.294872 0.240741 0.481481 0.277778 0.192308 0.589744 0.217949 0.130435 0.318841 0.398551 0.152174 0.101852 0.351852 0.435185 0.111111 0.111111 0.288889 0.5 0.1 0.0789474 0.421053 0.447368 0.0526316 
140	1 0.473684 0.526316 0.25641 0.487179 0.25641 0.240741 0.555556 0.203704 0.205128 0.551282 0.24359 0.115942 0.42029 0.347826 0.115942 0.12037 0.416667 0.37037 0.0925926 0.0888889 0.411111 0.422222 0.0777778 0.105263 0.394737 0.421053 0.0789474 
140_O	1 0.552632 0.447368 0.24359 0.512821 0.24359 0.203704 0.592593 0.203704 0.333333 0.410256 0.25641 0.101449 0.34058 0.471014 0.0869565 0.111111 0.398148 0.314815 0.175926 0.1 0.411111 0.4 0.0888889 0.184211 0.342105 0.236842 0.236842 
141	1 0.5 0.5 0.179487 0.538462 0.282051 0.222222 0.518519 0.259259 0.24359 0.512821 0.24359 0.0652174 0.362319 0.42029 0.152174 0.0740741 0.37963 0.407407 0.138889 0.0888889 0.366667 0.388889 0.155556 0.105263 0.315789 0.473684 0.105263 
141_O	1 0.631579 0.368421 0.320513 0.589744 0.0897436 0.444444 0.351852 0.203704 0.487179 0.282051 0.230769 0.181159 0.5 0.289855 0.0289855 0.194444 0.5 0.268519 0.037037 0.388889 0.222222 0.244444 0.144444 0.447368 0.131579 0.210526 0.210526 
142	1 0.631579 0.368421 0.346154 0.512821 0.141026 0.388889 0.444444 0.166667 0.397436 0.474359 0.128205 0.195652 0.463768 0.289855 0.0507246 0.212963 0.407407 0.351852 0.0277778 0.244444 0.4 0.3 0.0555556 0.210526 0.526316 0.184211 0.0789474 
142_O	1 0.473684 0.526316 0.166667 0.551282 0.282051 0.12963 0.592593 0.277778 0.25641 0.423077 0.320513 0.0289855 0.347826 0.5 0.123188 0.0648148 0.324074 0.444444 0.166667 0.0666667 0.322222 0.477778 0.133333 0.131579 0.236842 0.368421 0.263158 
143	1 0.631579 0.368421 0.448718 0.397436 0.153846 0.388889 0.518519 0.0925926 0.384615 0.487179 0.128205 0.297101 0.391304 0.268116 0.0434783 0.305556 0.407407 0.231481 0.0555556 0.222222 0.5 0.266667 0.0111111 0.184211 0.552632 0.210526 0.0526316 
143_O	1 0.368421 0.631579 0.205128 0.397436 0.397436 0.240741 0.259259 0.5 0.192308 0.358974 0.448718 0.137681 0.253623 0.282609 0.326087 0.148148 0.166667 0.407407 0.277778 0.155556 0.233333 0.222222 0.388889 0.131579 0.157895 0.421053 0.289474 
144	1 0.631579 0.368421 0.384615 0.512821 0.102564 0.296296 0.574074 0.12963 0.461538 0.346154 0.192308 0.15942 0.57971 0.231884 0.0289855 0.240741 0.425926 0.287037 0.0462963 0.244444 0.422222 0.288889 0.0444444 0.315789 0.236842 0.289474 0.157895 
144_O	1 0.394737 0.605263 0.0897436 0.74359 0.166667 0.259259 0.314815 0.425926 0.179487 0.435897 0.384615 0.0289855 0.391304 0.521739 0.057971 0 0.37963 0.574074 0.0462963 0.155556 0.3 0.244444 0.3 0.105263 0.315789 0.368421 0.210526 
145	1 0.552632 0.447368 0.294872 0.551282 0.153846 0.296296 0.481481 0.222222 0.269231 0.564103 0.166667 0.137681 0.456522 0.355072 0.0507246 0.12963 0.453704 0.388889 0.0277778 0.155556 0.444444 0.311111 0.0888889 0.0789474 0.473684 0.368421 0.0789474 
145_O	1 0.447368 0.552632 0.217949 0.512821 0.269231 0.240741 0.462963 0.296296 0.179487 0.538462 0.282051 0.115942 0.333333 0.427536 0.123188 0.0740741 0.388889 0.425926 0.111111 0.1 0.377778 0.377778 0.144444 0.105263 0.342105 0.394737 0.157895 
146	1 0.447368 0.552632 0.0897436 0.525641 0.384615 0.222222 0.37037 0.407407 0.24359 0.410256 0.346154 0.0434783 0.246377 0.434783 0.275362 0.0185185 0.324074 0.388889 0.268519 0.122222 0.244444 0.3 0.333333 0.131579 0.210526 0.447368 0.210526 
146_O	1 0.447368 0.552632 0.269231 0.538462 0.192308 0.259259 0.462963 0.277778 0.217949 0.461538 0.320513 0.144928 0.413043 0.355072 0.0869565 0.138889 0.407407 0.37963 0.0740741 0.166667 0.344444 0.333333 0.155556 0.0789474 0.394737 0.368421 0.157895 
147	1 0.473684 0.526316 0.24359 0.461538 0.294872 0.185185 0.537037 0.277778 0.205128 0.525641 0.269231 0.130435 0.268116 0.463768 0.137681 0.0925926 0.398148 0.324074 0.185185 0.0555556 0.422222 0.388889 0.133333 0.0526316 0.342105 0.447368 0.157895 
147_O	1 0.368421 0.631579 0.166667 0.410256 0.423077 0.12963 0.5 0.37037 0.0897436 0.551282 0.358974 0.0869565 0.195652 0.471014 0.246377 0.0462963 0.268519 0.444444 0.240741 0.0333333 0.255556 0.511111 0.2 0.0263158 0.263158 0.526316 0.184211 
148	1 0.5 0.5 0.24359 0.5 0.25641 0.185185 0.62963 0.185185 0.269231 0.461538 0.269231 0.0869565 0.398551 0.427536 0.0869565 0.12037 0.398148 0.324074 0.157407 0.0666667 0.455556 0.388889 0.0888889 0.131579 0.368421 0.368421 0.131579 
148_O	1 0.473684 0.526316 0.217949 0.461538 0.320513 0.148148 0.592593 0.259259 0.217949 0.5 0.282051 0.0869565 0.318841 0.42029 0.173913 0.0925926 0.314815 0.416667 0.175926 0.0555556 0.344444 0.5 0.1 0.0789474 0.263158 0.526316 0.131579 
149	1 0.447368 0.552632 0.166667 0.5 0.333333 0.111111 0.592593 0.296296 0.192308 0.525641 0.282051 0.0507246 0.297101 0.492754 0.15942 0.037037 0.342593 0.416667 0.203704 0.0222222 0.333333 0.522222 0.122222 0.0526316 0.421053 0.342105 0.184211 
149_O	1 0.473684 0.526316 0.141026 0.628205 0.230769 0.259259 0.37037 0.37037 0.269231 0.397436 0.333333 0.0507246 0.376812 0.427536 0.144928 0.0462963 0.388889 0.425926 0.138889 0.188889 0.222222 0.344444 0.244444 0.157895 0.236842 0.342105 0.263158 
14_O	1 0.421053 0.578947 0.141026 0.5 0.358974 0.111111 0.555556 0.333333 0.179487 0.487179 0.333333 0.0434783 0.246377 0.521739 0.188406 0.0277778 0.361111 0.37963 0.231481 0.0333333 0.266667 0.522222 0.177778 0.0789474 0.210526 0.5 0.210526 
15	1 0.578947 0.421053 0.320513 0.512821 0.166667 0.351852 0.444444 0.203704 0.294872 0.576923 0.128205 0.210145 0.369565 0.362319 0.057971 0.157407 0.462963 0.333333 0.0462963 0.211111 0.366667 0.355556 0.0666667 0.131579 0.5 0.368421 0 
150	1 0.315789 0.684211 0.0897436 0.512821 0.397436 0.0740741 0.518519 0.407407 0.0641026 0.512821 0.423077 0.0144928 0.217391 0.565217 0.202899 0.0185185 0.212963 0.574074 0.194444 0 0.233333 0.555556 0.211111 0 0.131579 0.684211 0.184211 
150_O	1 0.5 0.5 0.269231 0.512821 0.217949 0.277778 0.5 0.222222 0.269231 0.487179 0.24359 0.166667 0.369565 0.376812 0.0869565 0.175926 0.324074 0.416667 0.0833333 0.144444 0.377778 0.377778 0.1 0.184211 0.421053 0.315789 0.0789474 
151	1 0.421053 0.578947 0.166667 0.602564 0.230769 0.222222 0.425926 0.351852 0.166667 0.525641 0.307692 0.057971 0.405797 0.427536 0.108696 0.037037 0.388889 0.490741 0.0833333 0.111111 0.344444 0.344444 0.2 0.0526316 0.394737 0.394737 0.157895 
151_O	1 0.552632 0.447368 0.269231 0.487179 0.24359 0.185185 0.666667 0.148148 0.307692 0.487179 0.205128 0.0869565 0.42029 0.405797 0.0869565 0.148148 0.361111 0.388889 0.101852 0.0555556 0.477778 0.433333 0.0333333 0.105263 0.447368 0.263158 0.184211 
152	1 0.447368 0.552632 0.102564 0.576923 0.320513 0.203704 0.444444 0.351852 0.166667 0.551282 0.282051 0.0217391 0.297101 0.5 0.181159 0.0185185 0.314815 0.527778 0.138889 0.0888889 0.255556 0.444444 0.211111 0.0263158 0.368421 0.394737 0.210526 
152_O	1 0.368421 0.631579 0.128205 0.474359 0.397436 0.111111 0.574074 0.314815 0.128205 0.474359 0.397436 0.0217391 0.282609 0.485507 0.210145 0.0462963 0.296296 0.425926 0.231481 0.0222222 0.266667 0.533333 0.177778 0.0526316 0.236842 0.473684 0.236842 
153	1 0.421053 0.578947 0.192308 0.551282 0.25641 0.222222 0.481481 0.296296 0.179487 0.487179 0.333333 0.0942029 0.369565 0.42029 0.115942 0.0740741 0.37037 0.425926 0.12963 0.122222 0.311111 0.4 0.166667 0.131579 0.342105 0.394737 0.131579 
153_O	1 0.368421 0.631579 0.179487 0.5 0.320513 0.148148 0.481481 0.37037 0.128205 0.474359 0.397436 0.0942029 0.253623 0.485507 0.166667 0.0555556 0.351852 0.398148 0.194444 0.0555556 0.322222 0.411111 0.211111 0.0263158 0.263158 0.473684 0.236842 
154	1 0.5 0.5 0.307692 0.576923 0.115385 0.333333 0.444444 0.222222 0.282051 0.448718 0.269231 0.181159 0.485507 0.304348 0.0289855 0.175926 0.453704 0.333333 0.037037 0.233333 0.344444 0.311111 0.111111 0.236842 0.394737 0.236842 0.131579 
154_O	1 0.552632 0.447368 0.294872 0.512821 0.192308 0.277778 0.574074 0.148148 0.282051 0.512821 0.205128 0.130435 0.463768 0.333333 0.0724638 0.148148 0.444444 0.314815 0.0925926 0.111111 0.5 0.333333 0.0555556 0.184211 0.342105 0.394737 0.0789474 
155	1 0.473684 0.526316 0.205128 0.512821 0.282051 0.148148 0.592593 0.259259 0.217949 0.5 0.282051 0.057971 0.362319 0.449275 0.130435 0.0648148 0.37037 0.425926 0.138889 0.0555556 0.344444 0.5 0.1 0.0789474 0.342105 0.368421 0.210526 
155_O	1 0.368421 0.631579 0.179487 0.435897 0.384615 0.166667 0.425926 0.407407 0.0769231 0.564103 0.358974 0.0869565 0.26087 0.405797 0.246377 0.0277778 0.333333 0.398148 0.240741 0.0666667 0.255556 0.466667 0.211111 0 0.236842 0.631579 0.131579 
156	1 0.552632 0.447368 0.346154 0.474359 0.179487 0.333333 0.481481 0.185185 0.282051 0.538462 0.179487 0.217391 0.405797 0.289855 0.0869565 0.203704 0.425926 0.296296 0.0740741 0.2 0.411111 0.311111 0.0777778 0.131579 0.447368 0.368421 0.0526316 
156_O	1 0.5 0.5 0.24359 0.564103 0.192308 0.240741 0.537037 0.222222 0.230769 0.538462 0.230769 0.0869565 0.463768 0.384058 0.0652174 0.12037 0.37963 0.453704 0.0462963 0.1 0.433333 0.377778 0.0888889 0.0789474 0.447368 0.368421 0.105263 
157	1 0.394737 0.605263 0.166667 0.512821 0.320513 0.166667 0.444444 0.388889 0.166667 0.435897 0.397436 0.057971 0.318841 0.434783 0.188406 0.0648148 0.25 0.509259 0.175926 0.0777778 0.333333 0.344444 0.244444 0.0526316 0.263158 0.421053 0.263158 
157_O	1 0.552632 0.447368 0.166667 0.692308 0.141026 0.351852 0.333333 0.314815 0.384615 0.320513 0.294872 0.0797101 0.405797 0.456522 0.057971 0.0740741 0.435185 0.435185 0.0555556 0.255556 0.333333 0.122222 0.288889 0.236842 0.289474 0.210526 0.263158 
158	1 0.552632 0.447368 0.294872 0.461538 0.24359 0.277778 0.518519 0.203704 0.282051 0.538462 0.179487 0.137681 0.405797 0.333333 0.123188 0.148148 0.435185 0.296296 0.12037 0.155556 0.333333 0.455556 0.0555556 0.105263 0.447368 0.315789 0.131579 
158_O	1 0.421053 0.578947 0.0897436 0.641026 0.269231 0.148148 0.462963 0.388889 0.179487 0.461538 0.358974 0.00724638 0.282609 0.586957 0.123188 0.0185185 0.287037 0.555556 0.138889 0.0555556 0.322222 0.388889 0.233333 0.0526316 0.210526 0.447368 0.289474 
159	1 0.447368 0.552632 0.25641 0.564103 0.179487 0.296296 0.37037 0.333333 0.192308 0.525641 0.282051 0.166667 0.369565 0.391304 0.0724638 0.0833333 0.490741 0.333333 0.0925926 0.166667 0.388889 0.244444 0.2 0.131579 0.368421 0.394737 0.105263 
159_O	1 0.473684 0.526316 0.205128 0.551282 0.24359 0.166667 0.574074 0.259259 0.205128 0.525641 0.269231 0.0652174 0.376812 0.456522 0.101449 0.0740741 0.388889 0.416667 0.12037 0.0555556 0.388889 0.455556 0.1 0.0789474 0.236842 0.578947 0.105263 
15_O	1 0.421053 0.578947 0.141026 0.628205 0.230769 0.240741 0.351852 0.407407 0.166667 0.5 0.333333 0.0652174 0.333333 0.485507 0.115942 0.0185185 0.398148 0.453704 0.12963 0.144444 0.266667 0.344444 0.244444 0.0789474 0.289474 0.447368 0.184211 
16	1 0.342105 0.657895 0.153846 0.435897 0.410256 0.12963 0.425926 0.444444 0.141026 0.423077 0.435897 0.0434783 0.318841 0.355072 0.282609 0.037037 0.296296 0.37963 0.287037 0.1 0.166667 0.444444 0.288889 0.105263 0.210526 0.394737 0.289474 
160	1 0.473684 0.526316 0.25641 0.538462 0.205128 0.259259 0.5 0.240741 0.192308 0.576923 0.230769 0.123188 0.449275 0.333333 0.0942029 0.12037 0.407407 0.407407 0.0648148 0.1 0.455556 0.333333 0.111111 0.105263 0.421053 0.394737 0.0789474 
160_O	1 0.5 0.5 0.24359 0.551282 0.205128 0.277778 0.481481 0.240741 0.282051 0.448718 0.269231 0.115942 0.427536 0.376812 0.0797101 0.12963 0.388889 0.398148 0.0833333 0.166667 0.366667 0.322222 0.144444 0.236842 0.236842 0.421053 0.105263 
161	1 0.447368 0.552632 0.166667 0.538462 0.294872 0.203704 0.444444 0.351852 0.192308 0.512821 0.294872 0.0652174 0.34058 0.405797 0.188406 0.0555556 0.37037 0.407407 0.166667 0.111111 0.255556 0.455556 0.177778 0.0526316 0.315789 0.421053 0.210526 
161_O	1 0.5 0.5 0.179487 0.538462 0.282051 0.240741 0.481481 0.277778 0.25641 0.474359 0.269231 0.0797101 0.347826 0.405797 0.166667 0.101852 0.314815 0.425926 0.157407 0.122222 0.322222 0.377778 0.177778 0.131579 0.315789 0.421053 0.131579 
162	1 0.473684 0.526316 0.320513 0.435897 0.24359 0.296296 0.407407 0.296296 0.230769 0.487179 0.282051 0.217391 0.326087 0.318841 0.137681 0.185185 0.333333 0.351852 0.12963 0.166667 0.4 0.255556 0.177778 0.131579 0.394737 0.342105 0.131579 
162_O	1 0.526316 0.473684 0.230769 0.487179 0.282051 0.277778 0.425926 0.296296 0.25641 0.525641 0.217949 0.123188 0.318841 0.391304 0.166667 0.12963 0.277778 0.472222 0.12037 0.144444 0.322222 0.377778 0.155556 0.0789474 0.421053 0.368421 0.131579 
163	1 0.526316 0.473684 0.307692 0.487179 0.205128 0.277778 0.537037 0.185185 0.25641 0.551282 0.192308 0.166667 0.42029 0.333333 0.0797101 0.138889 0.444444 0.351852 0.0648148 0.144444 0.422222 0.377778 0.0555556 0.157895 0.394737 0.394737 0.0526316 
163_O	1 0.578947 0.421053 0.294872 0.512821 0.192308 0.314815 0.5 0.185185 0.333333 0.487179 0.179487 0.173913 0.369565 0.398551 0.057971 0.138889 0.435185 0.342593 0.0833333 0.166667 0.433333 0.311111 0.0888889 0.236842 0.394737 0.289474 0.0789474 
164	1 0.5 0.5 0.230769 0.576923 0.192308 0.240741 0.5 0.259259 0.24359 0.5 0.25641 0.0869565 0.427536 0.42029 0.0652174 0.0833333 0.444444 0.37037 0.101852 0.122222 0.4 0.344444 0.133333 0.105263 0.368421 0.421053 0.105263 
164_O	1 0.552632 0.447368 0.282051 0.487179 0.230769 0.296296 0.481481 0.222222 0.230769 0.615385 0.153846 0.152174 0.369565 0.362319 0.115942 0.111111 0.407407 0.407407 0.0740741 0.122222 0.422222 0.377778 0.0777778 0.0526316 0.526316 0.368421 0.0526316 
165	1 0.473684 0.526316 0.205128 0.512821 0.282051 0.12963 0.666667 0.203704 0.217949 0.512821 0.269231 0.0507246 0.369565 0.478261 0.101449 0.0833333 0.361111 0.435185 0.12037 0.0222222 0.4 0.522222 0.0555556 0.0789474 0.315789 0.447368 0.157895 
165_O	1 0.5 0.5 0.115385 0.782051 0.102564 0.314815 0.314815 0.37037 0.384615 0.230769 0.384615 0.0362319 0.456522 0.463768 0.0434783 0.0462963 0.435185 0.472222 0.0462963 0.277778 0.233333 0.177778 0.311111 0.289474 0.210526 0.105263 0.394737 
166	1 0.473684 0.526316 0.269231 0.461538 0.269231 0.203704 0.555556 0.240741 0.179487 0.576923 0.24359 0.137681 0.34058 0.391304 0.130435 0.111111 0.398148 0.361111 0.12963 0.0777778 0.411111 0.422222 0.0888889 0.0526316 0.315789 0.552632 0.0789474 
166_O	1 0.605263 0.394737 0.358974 0.423077 0.217949 0.333333 0.481481 0.185185 0.294872 0.576923 0.128205 0.210145 0.355072 0.326087 0.108696 0.175926 0.425926 0.296296 0.101852 0.155556 0.477778 0.311111 0.0555556 0.0789474 0.473684 0.394737 0.0526316 
167	1 0.5 0.5 0.230769 0.512821 0.25641 0.240741 0.481481 0.277778 0.25641 0.5 0.24359 0.115942 0.355072 0.391304 0.137681 0.12963 0.314815 0.453704 0.101852 0.111111 0.4 0.333333 0.155556 0.105263 0.368421 0.368421 0.157895 
167_O	1 0.631579 0.368421 0.307692 0.564103 0.128205 0.388889 0.462963 0.148148 0.346154 0.564103 0.0897436 0.15942 0.478261 0.333333 0.0289855 0.138889 0.527778 0.324074 0.00925926 0.188889 0.477778 0.277778 0.0555556 0.131579 0.605263 0.263158 0 
168	1 0.710526 0.289474 0.512821 0.423077 0.0641026 0.5 0.444444 0.0555556 0.512821 0.397436 0.0897436 0.355072 0.478261 0.166667 0 0.361111 0.453704 0.166667 0.0185185 0.355556 0.477778 0.155556 0.0111111 0.421053 0.394737 0.157895 0.0263158 
168_O	1 0.368421 0.631579 0.115385 0.487179 0.397436 0.111111 0.481481 0.407407 0.115385 0.512821 0.371795 0.0289855 0.253623 0.471014 0.246377 0.0185185 0.296296 0.425926 0.259259 0.0333333 0.255556 0.488889 0.222222 0.0263158 0.184211 0.552632 0.236842 
169	1 0.447368 0.552632 0.153846 0.538462 0.307692 0.203704 0.481481 0.314815 0.179487 0.538462 0.282051 0.0507246 0.34058 0.449275 0.15942 0.0555556 0.314815 0.481481 0.148148 0.0777778 0.333333 0.4 0.188889 0.0526316 0.394737 0.447368 0.105263 
169_O	1 0.394737 0.605263 0.217949 0.397436 0.384615 0.166667 0.444444 0.388889 0.128205 0.538462 0.333333 0.115942 0.268116 0.355072 0.26087 0.0740741 0.296296 0.407407 0.222222 0.0888889 0.233333 0.477778 0.2 0.0526316 0.210526 0.605263 0.131579 
16_O	1 0.552632 0.447368 0.384615 0.410256 0.205128 0.351852 0.481481 0.166667 0.294872 0.538462 0.166667 0.26087 0.384058 0.26087 0.0942029 0.259259 0.37963 0.259259 0.101852 0.155556 0.522222 0.244444 0.0777778 0.263158 0.368421 0.342105 0.0263158 
17	1 0.421053 0.578947 0.179487 0.512821 0.307692 0.111111 0.574074 0.314815 0.153846 0.525641 0.320513 0.0362319 0.347826 0.463768 0.152174 0.0833333 0.240741 0.537037 0.138889 0.0333333 0.311111 0.533333 0.122222 0.0263158 0.289474 0.473684 0.210526 
170	1 0.473684 0.526316 0.269231 0.448718 0.282051 0.222222 0.481481 0.296296 0.217949 0.538462 0.24359 0.144928 0.347826 0.34058 0.166667 0.138889 0.351852 0.361111 0.148148 0.0888889 0.411111 0.344444 0.155556 0.0789474 0.342105 0.5 0.0789474 
170_O	1 0.631579 0.368421 0.333333 0.525641 0.141026 0.388889 0.462963 0.148148 0.423077 0.423077 0.153846 0.181159 0.456522 0.326087 0.0362319 0.194444 0.5 0.259259 0.0462963 0.233333 0.422222 0.255556 0.0888889 0.210526 0.5 0.210526 0.0789474 
171	1 0.552632 0.447368 0.294872 0.564103 0.141026 0.333333 0.481481 0.185185 0.307692 0.525641 0.166667 0.15942 0.492754 0.297101 0.0507246 0.166667 0.462963 0.342593 0.0277778 0.177778 0.422222 0.344444 0.0555556 0.184211 0.447368 0.342105 0.0263158 
171_O	1 0.394737 0.605263 0.205128 0.448718 0.346154 0.203704 0.407407 0.388889 0.166667 0.448718 0.384615 0.115942 0.297101 0.347826 0.23913 0.0925926 0.314815 0.342593 0.25 0.122222 0.244444 0.388889 0.244444 0.0789474 0.315789 0.394737 0.210526 
172	1 0.5 0.5 0.269231 0.487179 0.24359 0.259259 0.481481 0.259259 0.192308 0.589744 0.217949 0.144928 0.355072 0.376812 0.123188 0.111111 0.388889 0.388889 0.111111 0.111111 0.411111 0.377778 0.1 0.0263158 0.473684 0.394737 0.105263 
172_O	1 0.5 0.5 0.294872 0.487179 0.217949 0.259259 0.611111 0.12963 0.282051 0.474359 0.24359 0.152174 0.449275 0.333333 0.0652174 0.203704 0.37963 0.324074 0.0925926 0.1 0.477778 0.377778 0.0444444 0.210526 0.473684 0.210526 0.105263 
173	1 0.578947 0.421053 0.358974 0.5 0.141026 0.351852 0.518519 0.12963 0.333333 0.525641 0.141026 0.217391 0.456522 0.297101 0.0289855 0.203704 0.527778 0.212963 0.0555556 0.166667 0.511111 0.288889 0.0333333 0.210526 0.5 0.263158 0.0263158 
173_O	1 0.447368 0.552632 0.205128 0.474359 0.320513 0.185185 0.537037 0.277778 0.166667 0.564103 0.269231 0.101449 0.304348 0.427536 0.166667 0.101852 0.287037 0.453704 0.157407 0.0444444 0.4 0.411111 0.144444 0.0263158 0.447368 0.421053 0.105263 
174	1 0.447368 0.552632 0.205128 0.512821 0.282051 0.166667 0.574074 0.259259 0.179487 0.525641 0.294872 0.0869565 0.326087 0.463768 0.123188 0.0740741 0.37037 0.416667 0.138889 0.0444444 0.411111 0.422222 0.122222 0.0526316 0.289474 0.552632 0.105263 
174_O	1 0.631579 0.368421 0.371795 0.461538 0.166667 0.351852 0.481481 0.166667 0.397436 0.448718 0.153846 0.210145 0.413043 0.304348 0.0724638 0.222222 0.425926 0.268519 0.0833333 0.233333 0.4 0.311111 0.0555556 0.184211 0.368421 0.368421 0.0789474 
175	1 0.473684 0.526316 0.205128 0.461538 0.333333 0.185185 0.5 0.314815 0.205128 0.538462 0.25641 0.0797101 0.304348 0.427536 0.188406 0.101852 0.277778 0.453704 0.166667 0.0777778 0.311111 0.455556 0.155556 0.0526316 0.342105 0.421053 0.184211 
175_O	1 0.5 0.5 0.24359 0.564103 0.192308 0.314815 0.351852 0.333333 0.25641 0.474359 0.269231 0.130435 0.405797 0.347826 0.115942 0.12037 0.37963 0.407407 0.0925926 0.177778 0.355556 0.266667 0.2 0.131579 0.368421 0.342105 0.157895 
176	1 0.605263 0.394737 0.397436 0.448718 0.153846 0.37037 0.5 0.12963 0.333333 0.551282 0.115385 0.268116 0.384058 0.304348 0.0434783 0.222222 0.481481 0.25 0.0462963 0.177778 0.533333 0.255556 0.0333333 0.184211 0.5 0.315789 0 
176_O	1 0.526316 0.473684 0.269231 0.576923 0.153846 0.259259 0.574074 0.166667 0.307692 0.435897 0.25641 0.108696 0.514493 0.333333 0.0434783 0.157407 0.407407 0.361111 0.0740741 0.122222 0.488889 0.311111 0.0777778 0.210526 0.368421 0.315789 0.105263 
177	1 0.447368 0.552632 0.217949 0.474359 0.307692 0.222222 0.444444 0.333333 0.230769 0.448718 0.320513 0.108696 0.34058 0.355072 0.195652 0.111111 0.37037 0.305556 0.212963 0.111111 0.333333 0.355556 0.2 0.131579 0.236842 0.447368 0.184211 
177_O	1 0.631579 0.368421 0.333333 0.538462 0.128205 0.462963 0.314815 0.222222 0.423077 0.448718 0.128205 0.231884 0.434783 0.26087 0.0724638 0.185185 0.518519 0.25 0.0462963 0.322222 0.311111 0.255556 0.111111 0.236842 0.526316 0.184211 0.0526316 
178	1 0.552632 0.447368 0.320513 0.538462 0.141026 0.333333 0.444444 0.222222 0.25641 0.589744 0.153846 0.166667 0.471014 0.318841 0.0434783 0.12037 0.537037 0.287037 0.0555556 0.2 0.4 0.322222 0.0777778 0.105263 0.473684 0.421053 0 
178_O	1 0.605263 0.394737 0.384615 0.435897 0.179487 0.351852 0.518519 0.12963 0.346154 0.5 0.153846 0.202899 0.478261 0.231884 0.0869565 0.240741 0.416667 0.268519 0.0740741 0.2 0.455556 0.311111 0.0333333 0.184211 0.473684 0.210526 0.131579 
179	1 0.447368 0.552632 0.217949 0.525641 0.25641 0.222222 0.481481 0.296296 0.192308 0.525641 0.282051 0.101449 0.369565 0.413043 0.115942 0.0925926 0.351852 0.453704 0.101852 0.1 0.355556 0.4 0.144444 0.0526316 0.447368 0.394737 0.105263 
179_O	1 0.394737 0.605263 0.141026 0.512821 0.346154 0.148148 0.537037 0.314815 0.153846 0.487179 0.358974 0.0362319 0.318841 0.478261 0.166667 0.0648148 0.259259 0.490741 0.185185 0.0444444 0.3 0.5 0.155556 0.0526316 0.342105 0.447368 0.157895 
17_O	1 0.552632 0.447368 0.269231 0.551282 0.179487 0.259259 0.592593 0.148148 0.307692 0.5 0.192308 0.115942 0.463768 0.376812 0.0434783 0.111111 0.490741 0.324074 0.0740741 0.111111 0.5 0.333333 0.0555556 0.210526 0.342105 0.394737 0.0526316 
